itemid,datasource,genre,subgenre,orig_lang,split,10fold_split
Animal_Farm_EN_batch_07_item_03,Animal_Farm_EN_paragraph_24,novel,,English,test,6
Animal_Farm_EN_batch_07_item_04,Animal_Farm_EN_paragraph_24,novel,,English,train,8
Animal_Farm_EN_batch_07_item_05,Animal_Farm_EN_paragraph_24,novel,,English,train,0
Animal_Farm_EN_batch_07_item_06,Animal_Farm_EN_paragraph_24,novel,,English,train,9
Animal_Farm_EN_batch_07_item_07,Animal_Farm_EN_paragraph_24,novel,,English,train,2
Animal_Farm_EN_batch_07_item_08,Animal_Farm_EN_paragraph_26,novel,,English,dev,6
Animal_Farm_EN_batch_07_item_09,Animal_Farm_EN_paragraph_26,novel,,English,train,1
Animal_Farm_EN_batch_07_item_10,Animal_Farm_EN_paragraph_26,novel,,English,train,4
Animal_Farm_EN_batch_07_item_11,Animal_Farm_EN_paragraph_26,novel,,English,train,5
Animal_Farm_EN_batch_07_item_12,Animal_Farm_EN_paragraph_26,novel,,English,train,9
Animal_Farm_EN_batch_07_item_13,Animal_Farm_EN_paragraph_26,novel,,English,test,2
Animal_Farm_EN_batch_07_item_14,Animal_Farm_EN_paragraph_27,novel,,English,train,9
Animal_Farm_EN_batch_07_item_15,Animal_Farm_EN_paragraph_27,novel,,English,train,6
Animal_Farm_EN_batch_07_item_16,Animal_Farm_EN_paragraph_27,novel,,English,train,3
Animal_Farm_EN_batch_07_item_17,Animal_Farm_EN_paragraph_27,novel,,English,test,4
Animal_Farm_EN_batch_07_item_18,Animal_Farm_EN_paragraph_27,novel,,English,dev,0
Animal_Farm_EN_batch_07_item_19,Animal_Farm_EN_paragraph_27,novel,,English,train,8
Animal_Farm_EN_batch_07_item_20,Animal_Farm_EN_paragraph_27,novel,,English,train,1
Animal_Farm_EN_batch_08_item_01,Animal_Farm_EN_paragraph_27,novel,,English,train,7
Animal_Farm_EN_batch_08_item_02,Animal_Farm_EN_paragraph_28,novel,,English,train,9
Animal_Farm_EN_batch_08_item_03,Animal_Farm_EN_paragraph_28,novel,,English,test,7
Animal_Farm_EN_batch_08_item_04,Animal_Farm_EN_paragraph_28,novel,,English,dev,5
Animal_Farm_EN_batch_08_item_05,Animal_Farm_EN_paragraph_28,novel,,English,train,6
Animal_Farm_EN_batch_08_item_06,Animal_Farm_EN_paragraph_29,novel,,English,train,9
Animal_Farm_EN_batch_08_item_07,Animal_Farm_EN_paragraph_29,novel,,English,train,6
Animal_Farm_EN_batch_08_item_08,Animal_Farm_EN_paragraph_29,novel,,English,train,2
Animal_Farm_EN_batch_08_item_09,Animal_Farm_EN_paragraph_29,novel,,English,train,0
Animal_Farm_EN_batch_08_item_10,Animal_Farm_EN_paragraph_29,novel,,English,test,4
Animal_Farm_EN_batch_08_item_11,Animal_Farm_EN_paragraph_29,novel,,English,dev,5
Animal_Farm_EN_batch_08_item_12,Animal_Farm_EN_paragraph_30,novel,,English,dev,9
Animal_Farm_EN_batch_08_item_13,Animal_Farm_EN_paragraph_30,novel,,English,train,7
Animal_Farm_EN_batch_08_item_14,Animal_Farm_EN_paragraph_30,novel,,English,train,4
Animal_Farm_EN_batch_08_item_15,Animal_Farm_EN_paragraph_30,novel,,English,train,3
Animal_Farm_EN_batch_08_item_16,Animal_Farm_EN_paragraph_30,novel,,English,train,8
Animal_Farm_EN_batch_08_item_17,Animal_Farm_EN_paragraph_30,novel,,English,train,5
Animal_Farm_EN_batch_08_item_18,Animal_Farm_EN_paragraph_30,novel,,English,train,6
Animal_Farm_EN_batch_08_item_19,Animal_Farm_EN_paragraph_30,novel,,English,train,0
Animal_Farm_EN_batch_08_item_20,Animal_Farm_EN_paragraph_30,novel,,English,test,2
Arsene Lupin_FR_EN_batch_01_item_01,Arsene Lupin_FR_EN_paragraph_03,novel,,French,train,1
Arsene Lupin_FR_EN_batch_01_item_02,Arsene Lupin_FR_EN_paragraph_03,novel,,French,train,2
Arsene Lupin_FR_EN_batch_01_item_03,Arsene Lupin_FR_EN_paragraph_07,novel,,French,test,4
Arsene Lupin_FR_EN_batch_01_item_04,Arsene Lupin_FR_EN_paragraph_07,novel,,French,dev,7
Arsene Lupin_FR_EN_batch_01_item_05,Arsene Lupin_FR_EN_paragraph_07,novel,,French,train,9
Arsene Lupin_FR_EN_batch_01_item_06,Arsene Lupin_FR_EN_paragraph_07,novel,,French,train,0
Arsene Lupin_FR_EN_batch_01_item_07,Arsene Lupin_FR_EN_paragraph_13,novel,,French,train,2
Arsene Lupin_FR_EN_batch_01_item_08,Arsene Lupin_FR_EN_paragraph_17,novel,,French,train,2
Arsene Lupin_FR_EN_batch_01_item_09,Arsene Lupin_FR_EN_paragraph_31,novel,,French,train,3
Arsene Lupin_FR_EN_batch_01_item_10,Arsene Lupin_FR_EN_paragraph_103,novel,,French,train,3
Arsene Lupin_FR_EN_batch_01_item_11,Arsene Lupin_FR_EN_paragraph_103,novel,,French,train,9
Arsene Lupin_FR_EN_batch_01_item_12,Arsene Lupin_FR_EN_paragraph_161,novel,,French,train,0
Arsene Lupin_FR_EN_batch_01_item_13,Arsene Lupin_FR_EN_paragraph_247,novel,,French,train,5
Arsene Lupin_FR_EN_batch_01_item_14,Arsene Lupin_FR_EN_paragraph_268,novel,,French,train,2
Arsene Lupin_FR_EN_batch_01_item_15,Arsene Lupin_FR_EN_paragraph_270,novel,,French,train,8
Arsene Lupin_FR_EN_batch_01_item_16,Arsene Lupin_FR_EN_paragraph_270,novel,,French,train,0
Arsene Lupin_FR_EN_batch_01_item_17,Arsene Lupin_FR_EN_paragraph_270,novel,,French,train,3
Arsene Lupin_FR_EN_batch_01_item_18,Arsene Lupin_FR_EN_paragraph_272,novel,,French,train,3
Arsene Lupin_FR_EN_batch_01_item_19,Arsene Lupin_FR_EN_paragraph_296,novel,,French,train,7
Arsene Lupin_FR_EN_batch_01_item_20,Arsene Lupin_FR_EN_paragraph_412,novel,,French,train,9
Arsene Lupin_FR_EN_batch_02_item_01,Arsene Lupin_FR_EN_paragraph_412,novel,,French,train,2
Arsene Lupin_FR_EN_batch_02_item_02,Arsene Lupin_FR_EN_paragraph_412,novel,,French,train,1
Arsene Lupin_FR_EN_batch_02_item_03,Arsene Lupin_FR_EN_paragraph_432,novel,,French,train,4
Arsene Lupin_FR_EN_batch_02_item_04,Arsene Lupin_FR_EN_paragraph_450,novel,,French,train,9
Arsene Lupin_FR_EN_batch_02_item_05,Arsene Lupin_FR_EN_paragraph_452,novel,,French,train,8
Arsene Lupin_FR_EN_batch_02_item_06,Arsene Lupin_FR_EN_paragraph_466,novel,,French,train,8
Arsene Lupin_FR_EN_batch_02_item_07,Arsene Lupin_FR_EN_paragraph_718,novel,,French,train,7
Arsene Lupin_FR_EN_batch_02_item_08,Arsene Lupin_FR_EN_paragraph_718,novel,,French,train,9
Arsene Lupin_FR_EN_batch_02_item_09,Arsene Lupin_FR_EN_paragraph_819,novel,,French,train,6
Arsene Lupin_FR_EN_batch_02_item_10,Arsene Lupin_FR_EN_paragraph_843,novel,,French,train,2
Arsene Lupin_FR_EN_batch_02_item_11,Arsene Lupin_FR_EN_paragraph_843,novel,,French,train,3
Arsene Lupin_FR_EN_batch_02_item_12,Arsene Lupin_FR_EN_paragraph_847,novel,,French,train,3
Arsene Lupin_FR_EN_batch_02_item_13,Arsene Lupin_FR_EN_paragraph_849,novel,,French,train,2
Arsene Lupin_FR_EN_batch_02_item_14,Arsene Lupin_FR_EN_paragraph_901,novel,,French,train,6
Arsene Lupin_FR_EN_batch_02_item_15,Arsene Lupin_FR_EN_paragraph_917,novel,,French,train,0
Arsene Lupin_FR_EN_batch_02_item_16,Arsene Lupin_FR_EN_paragraph_917,novel,,French,train,3
Arsene Lupin_FR_EN_batch_02_item_17,Arsene Lupin_FR_EN_paragraph_919,novel,,French,train,1
Arsene Lupin_FR_EN_batch_02_item_18,Arsene Lupin_FR_EN_paragraph_919,novel,,French,train,6
Arsene Lupin_FR_EN_batch_02_item_19,Arsene Lupin_FR_EN_paragraph_945,novel,,French,train,5
Arsene Lupin_FR_EN_batch_02_item_20,Arsene Lupin_FR_EN_paragraph_977,novel,,French,train,8
Arsene Lupin_FR_EN_batch_03_item_01,Arsene Lupin_FR_EN_paragraph_977,novel,,French,train,0
Arsene Lupin_FR_EN_batch_03_item_02,Arsene Lupin_FR_EN_paragraph_977,novel,,French,train,5
Arsene Lupin_FR_EN_batch_03_item_03,Arsene Lupin_FR_EN_paragraph_993,novel,,French,train,8
Arsene Lupin_FR_EN_batch_03_item_04,Arsene Lupin_FR_EN_paragraph_1015,novel,,French,train,3
Arsene Lupin_FR_EN_batch_03_item_05,Arsene Lupin_FR_EN_paragraph_1015,novel,,French,test,7
Arsene Lupin_FR_EN_batch_03_item_06,Arsene Lupin_FR_EN_paragraph_1015,novel,,French,dev,0
Arsene Lupin_FR_EN_batch_03_item_07,Arsene Lupin_FR_EN_paragraph_1015,novel,,French,train,1
Arsene Lupin_FR_EN_batch_03_item_08,Arsene Lupin_FR_EN_paragraph_1033,novel,,French,train,9
Arsene Lupin_FR_EN_batch_03_item_09,Arsene Lupin_FR_EN_paragraph_1033,novel,,French,train,0
Arsene Lupin_FR_EN_batch_03_item_10,Arsene Lupin_FR_EN_paragraph_1103,novel,,French,train,9
Arsene Lupin_FR_EN_batch_03_item_11,Arsene Lupin_FR_EN_paragraph_1115,novel,,French,train,1
Arsene Lupin_FR_EN_batch_03_item_12,Arsene Lupin_FR_EN_paragraph_1119,novel,,French,train,9
Arsene Lupin_FR_EN_batch_03_item_13,Arsene Lupin_FR_EN_paragraph_1119,novel,,French,train,8
Arsene Lupin_FR_EN_batch_03_item_14,Arsene Lupin_FR_EN_paragraph_1119,novel,,French,train,7
Arsene Lupin_FR_EN_batch_03_item_15,Arsene Lupin_FR_EN_paragraph_1121,novel,,French,train,5
Arsene Lupin_FR_EN_batch_03_item_16,Arsene Lupin_FR_EN_paragraph_1121,novel,,French,train,3
Arsene Lupin_FR_EN_batch_03_item_17,Arsene Lupin_FR_EN_paragraph_1121,novel,,French,train,8
Arsene Lupin_FR_EN_batch_03_item_18,Arsene Lupin_FR_EN_paragraph_1131,novel,,French,train,7
Arsene Lupin_FR_EN_batch_03_item_19,Arsene Lupin_FR_EN_paragraph_1133,novel,,French,train,5
Arsene Lupin_FR_EN_batch_03_item_20,Arsene Lupin_FR_EN_paragraph_1137,novel,,French,train,7
Arsene Lupin_FR_EN_batch_04_item_01,Arsene Lupin_FR_EN_paragraph_1147,novel,,French,train,9
Arsene Lupin_FR_EN_batch_04_item_02,Arsene Lupin_FR_EN_paragraph_1165,novel,,French,train,0
Arsene Lupin_FR_EN_batch_04_item_03,Arsene Lupin_FR_EN_paragraph_1165,novel,,French,train,9
Arsene Lupin_FR_EN_batch_04_item_04,Arsene Lupin_FR_EN_paragraph_1165,novel,,French,train,6
Arsene Lupin_FR_EN_batch_04_item_05,Arsene Lupin_FR_EN_paragraph_1173,novel,,French,train,9
Arsene Lupin_FR_EN_batch_04_item_06,Arsene Lupin_FR_EN_paragraph_1173,novel,,French,train,5
Arsene Lupin_FR_EN_batch_04_item_07,Arsene Lupin_FR_EN_paragraph_1250,novel,,French,train,6
Arsene Lupin_FR_EN_batch_04_item_08,Arsene Lupin_FR_EN_paragraph_1316,novel,,French,test,9
Arsene Lupin_FR_EN_batch_04_item_09,Arsene Lupin_FR_EN_paragraph_1316,novel,,French,train,3
Arsene Lupin_FR_EN_batch_04_item_10,Arsene Lupin_FR_EN_paragraph_1316,novel,,French,train,6
Arsene Lupin_FR_EN_batch_04_item_11,Arsene Lupin_FR_EN_paragraph_1316,novel,,French,dev,1
Arsene Lupin_FR_EN_batch_04_item_12,Arsene Lupin_FR_EN_paragraph_1318,novel,,French,train,2
Arsene Lupin_FR_EN_batch_04_item_13,Arsene Lupin_FR_EN_paragraph_1318,novel,,French,train,0
Arsene Lupin_FR_EN_batch_04_item_14,Arsene Lupin_FR_EN_paragraph_1318,novel,,French,train,1
Arsene Lupin_FR_EN_batch_04_item_15,Arsene Lupin_FR_EN_paragraph_1324,novel,,French,train,4
Arsene Lupin_FR_EN_batch_04_item_16,Arsene Lupin_FR_EN_paragraph_1332,novel,,French,train,8
Arsene Lupin_FR_EN_batch_04_item_17,Arsene Lupin_FR_EN_paragraph_1332,novel,,French,train,6
Arsene Lupin_FR_EN_batch_04_item_18,Arsene Lupin_FR_EN_paragraph_1342,novel,,French,train,6
Arsene Lupin_FR_EN_batch_04_item_19,Arsene Lupin_FR_EN_paragraph_1342,novel,,French,train,4
Arsene Lupin_FR_EN_batch_04_item_20,Arsene Lupin_FR_EN_paragraph_1344,novel,,French,train,7
Arsene Lupin_FR_EN_batch_05_item_01,Arsene Lupin_FR_EN_paragraph_1344,novel,,French,train,5
Arsene Lupin_FR_EN_batch_05_item_02,Arsene Lupin_FR_EN_paragraph_1408,novel,,French,train,2
Arsene Lupin_FR_EN_batch_05_item_03,Arsene Lupin_FR_EN_paragraph_1474,novel,,French,train,8
Arsene Lupin_FR_EN_batch_05_item_04,Arsene Lupin_FR_EN_paragraph_1492,novel,,French,train,8
Arsene Lupin_FR_EN_batch_05_item_05,Arsene Lupin_FR_EN_paragraph_1494,novel,,French,train,4
Arsene Lupin_FR_EN_batch_05_item_06,Arsene Lupin_FR_EN_paragraph_1500,novel,,French,train,9
Arsene Lupin_FR_EN_batch_05_item_07,Arsene Lupin_FR_EN_paragraph_1506,novel,,French,train,2
Arsene Lupin_FR_EN_batch_05_item_08,Arsene Lupin_FR_EN_paragraph_1506,novel,,French,train,7
Arsene Lupin_FR_EN_batch_05_item_09,Arsene Lupin_FR_EN_paragraph_1508,novel,,French,train,1
Arsene Lupin_FR_EN_batch_05_item_10,Arsene Lupin_FR_EN_paragraph_1508,novel,,French,train,8
Arsene Lupin_FR_EN_batch_05_item_11,Arsene Lupin_FR_EN_paragraph_1512,novel,,French,train,7
Arsene Lupin_FR_EN_batch_05_item_12,Arsene Lupin_FR_EN_paragraph_1512,novel,,French,train,9
Arsene Lupin_FR_EN_batch_05_item_13,Arsene Lupin_FR_EN_paragraph_1512,novel,,French,train,6
Arsene Lupin_FR_EN_batch_05_item_14,Arsene Lupin_FR_EN_paragraph_1526,novel,,French,train,6
Arsene Lupin_FR_EN_batch_05_item_15,Arsene Lupin_FR_EN_paragraph_1528,novel,,French,train,2
Arsene Lupin_FR_EN_batch_05_item_16,Arsene Lupin_FR_EN_paragraph_1557,novel,,French,train,6
Arsene Lupin_FR_EN_batch_05_item_17,Arsene Lupin_FR_EN_paragraph_1557,novel,,French,train,1
Arsene Lupin_FR_EN_batch_05_item_18,Arsene Lupin_FR_EN_paragraph_1651,novel,,French,dev,0
Arsene Lupin_FR_EN_batch_05_item_19,Arsene Lupin_FR_EN_paragraph_1651,novel,,French,train,5
Arsene Lupin_FR_EN_batch_05_item_20,Arsene Lupin_FR_EN_paragraph_1651,novel,,French,train,3
Arsene Lupin_FR_EN_batch_06_item_01,Arsene Lupin_FR_EN_paragraph_1651,novel,,French,test,8
Arsene Lupin_FR_EN_batch_06_item_02,Arsene Lupin_FR_EN_paragraph_1705,novel,,French,train,0
Arsene Lupin_FR_EN_batch_06_item_03,Arsene Lupin_FR_EN_paragraph_1801,novel,,French,train,0
Arsene Lupin_FR_EN_batch_06_item_04,Arsene Lupin_FR_EN_paragraph_2024,novel,,French,train,2
Arsene Lupin_FR_EN_batch_06_item_05,Arsene Lupin_FR_EN_paragraph_2030,novel,,French,train,9
Arsene Lupin_FR_EN_batch_06_item_06,Arsene Lupin_FR_EN_paragraph_2066,novel,,French,train,3
Arsene Lupin_FR_EN_batch_06_item_07,Arsene Lupin_FR_EN_paragraph_2072,novel,,French,train,2
Arsene Lupin_FR_EN_batch_06_item_08,Arsene Lupin_FR_EN_paragraph_2072,novel,,French,test,3
Arsene Lupin_FR_EN_batch_06_item_09,Arsene Lupin_FR_EN_paragraph_2072,novel,,French,dev,5
Arsene Lupin_FR_EN_batch_06_item_10,Arsene Lupin_FR_EN_paragraph_2072,novel,,French,train,7
