Relation,Genre,Datasource,Itemid,SemClass,Arg1_RawText,Arg2_RawText
implicit ,europarl,europarl-cs-en-ep-07-09-03-018,cs_en_batch_01_item_11,result,At the same time the EURES advisers are on hand to help workers and their families who are planning to make use of the opportunities that mobility offers. I would now like to answer your questions one by one.,"I will start with your first question concerning the possible expansion of EURES to third-country nationals. As you know, EURES was originally introduced to benefit the citizens of the European Economic Area by helping them to find work outside their own countries and thus increase mobility."
implicit ,europarl,europarl-cs-en-ep-07-09-03-018,cs_en_batch_01_item_12,reason,I would now like to answer your questions one by one. I will start with your first question concerning the possible expansion of EURES to third-country nationals.,"As you know, EURES was originally introduced to benefit the citizens of the European Economic Area by helping them to find work outside their own countries and thus increase mobility. At present the Commission is planning to make the EURES system accessible to workers from other countries as well: this will not only meet their expectations but also benefit the Union."
implicit ,europarl,europarl-cs-en-ep-07-09-03-018,cs_en_batch_01_item_13,conjunction,"I will start with your first question concerning the possible expansion of EURES to third-country nationals. As you know, EURES was originally introduced to benefit the citizens of the European Economic Area by helping them to find work outside their own countries and thus increase mobility.","At present the Commission is planning to make the EURES system accessible to workers from other countries as well: this will not only meet their expectations but also benefit the Union. In view of the ageing population and demographic decrease in Europe we must be ready for shortages in the European workforce in the near future, which will affect key sectors of our economy and our lifestyle."
implicit ,europarl,europarl-cs-en-ep-07-09-03-018,cs_en_batch_01_item_14,reason,"As you know, EURES was originally introduced to benefit the citizens of the European Economic Area by helping them to find work outside their own countries and thus increase mobility. At present the Commission is planning to make the EURES system accessible to workers from other countries as well: this will not only meet their expectations but also benefit the Union.","In view of the ageing population and demographic decrease in Europe we must be ready for shortages in the European workforce in the near future, which will affect key sectors of our economy and our lifestyle. "
implicit ,europarl,europarl-cs-en-ep-07-09-04-016,cs_en_batch_01_item_15,result,"For that reason, and in view of the need to ensure maximum air traffic safety, maximum effectiveness and minimum flight delays, we support the creation of functional blocks and, consequently, the Single European Sky. However, let us not forget that while fragmentation is expensive, defragmentation costs money too.","Since this is a complex system, I support, in the interest of continuity, the gradual establishment of a single operations management system in a common airspace. In addition, the unification of European skies where 27 national operating systems exist today will jeopardise the jobs of air traffic controllers and other specialists in this field."
implicit ,europarl,europarl-cs-en-ep-07-09-04-016,cs_en_batch_01_item_16,arg2-as-denier,"Since this is a complex system, I support, in the interest of continuity, the gradual establishment of a single operations management system in a common airspace. In addition, the unification of European skies where 27 national operating systems exist today will jeopardise the jobs of air traffic controllers and other specialists in this field.","As far as I am aware, a rather successful long-term social dialogue has been conducted on these issues and, in my opinion, it is thus necessary to reconcile seemingly contradictory procedures. We want our flights to be safer and more effective; we want minimal flight delays and maximum elimination of the dangers of unusual air traffic events."
implicit ,europarl,europarl-cs-en-ep-07-09-04-016,cs_en_batch_01_item_17,reason,"In addition, the unification of European skies where 27 national operating systems exist today will jeopardise the jobs of air traffic controllers and other specialists in this field. As far as I am aware, a rather successful long-term social dialogue has been conducted on these issues and, in my opinion, it is thus necessary to reconcile seemingly contradictory procedures.",We want our flights to be safer and more effective; we want minimal flight delays and maximum elimination of the dangers of unusual air traffic events. Human lives are at stake: the lives of those who fly and also the lives and fates of those who manage the air traffic.
implicit ,europarl,europarl-cs-en-ep-07-09-04-016,cs_en_batch_01_item_18,reason,"As far as I am aware, a rather successful long-term social dialogue has been conducted on these issues and, in my opinion, it is thus necessary to reconcile seemingly contradictory procedures. We want our flights to be safer and more effective; we want minimal flight delays and maximum elimination of the dangers of unusual air traffic events.",Human lives are at stake: the lives of those who fly and also the lives and fates of those who manage the air traffic. 
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_01_item_19,arg2-as-detail," However, the Member States are not obliged to replace fixed-term contracts with open-ended contracts assuming that there are other effective measures in place that would prevent or sanction such abuse.",The European Court of Justice confirmed this interpretation in its judgment of 4 July 2006 in Case C-212/04 (Adeneler) pertaining to Greek legislation. The European Court of Justice also stated that interpretation of the relevant national legislation does not fall within its competence.
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_01_item_20,conjunction,"However, the Member States are not obliged to replace fixed-term contracts with open-ended contracts assuming that there are other effective measures in place that would prevent or sanction such abuse. The European Court of Justice confirmed this interpretation in its judgment of 4 July 2006 in Case C-212/04 (Adeneler) pertaining to Greek legislation.",The European Court of Justice also stated that interpretation of the relevant national legislation does not fall within its competence. It is entirely for the Greek courts to provide an interpretation of relevant Greek legislation and to determine whether this legislation complies with the requirements of the Directive regarding the existence of effective measures that would prevent and sanction abuse arising from the use of successive fixed-term employment contracts.
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_01,result,The European Court of Justice also stated that interpretation of the relevant national legislation does not fall within its competence. It is entirely for the Greek courts to provide an interpretation of relevant Greek legislation and to determine whether this legislation complies with the requirements of the Directive regarding the existence of effective measures that would prevent and sanction abuse arising from the use of successive fixed-term employment contracts.,Greece implemented the above-mentioned Directive through Presidential Decree No 164/2004 concerning the public sector. The Commission carried out a thorough analysis of this Decree and concluded that it was compatible with the requirements of the Directive.
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_02,result,It is entirely for the Greek courts to provide an interpretation of relevant Greek legislation and to determine whether this legislation complies with the requirements of the Directive regarding the existence of effective measures that would prevent and sanction abuse arising from the use of successive fixed-term employment contracts. Greece implemented the above-mentioned Directive through Presidential Decree No 164/2004 concerning the public sector.,"The Commission carried out a thorough analysis of this Decree and concluded that it was compatible with the requirements of the Directive. Since the Directive was implemented at a late stage, on 19 July 2004, the Presidential Decree contained an exceptional temporary provision that makes it possible under certain conditions to change successive fixed-term employment contracts concluded before the date on which the Decree entered into force into employment contracts of indefinite duration.  I am aware that the legal situation concerning the abuse of fixed-term employment contracts in the Greek public sector was a subject of disputes over the last few years."
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_03,conjunction,"Since the Directive was implemented at a late stage, on 19 July 2004, the Presidential Decree contained an exceptional temporary provision that makes it possible under certain conditions to change successive fixed-term employment contracts concluded before the date on which the Decree entered into force into employment contracts of indefinite duration. I am aware that the legal situation concerning the abuse of fixed-term employment contracts in the Greek public sector was a subject of disputes over the last few years.",This was confirmed by the recent judgment of the Greek Supreme Court of 11 June 2007 in which the court annulled its previous case-law. 
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_04,result," The Commission has identified many problems regarding the first Presidential Decree, including those that were considered in the Adeneler case.",Because of these problems the Commission contacted the Greek authorities in 2004. I can therefore confirm that we are attentive to this issue.
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_05,result,Because of these problems the Commission contacted the Greek authorities in 2004. I can therefore confirm that we are attentive to this issue.,"We examine very carefully the most recent judgments of the Greek Supreme Court and if we find out that action has to be taken by the Commission, we will not hesitate to do so. Of course many questions arise about the abuse of the fixed-term employment contracts concluded before the date of adoption of the Directive, including those that were already in force on 10 July 2002, the day on which the Directive was to be implemented, unless a temporary provision applied to these contracts.  Essentially I want to say that we are pay adequate attention to this issue and that we will take such steps as are necessary to protect the Treaties.  Subject: Equal opportunities  Is the Commission satisfied, in European Year of Equal Opportunities, that real progress is being made in 'new' as well as 'old' Member States towards equality of people of different ethnicity and sexual orientation?"
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_06,conjunction,"Of course many questions arise about the abuse of the fixed-term employment contracts concluded before the date of adoption of the Directive, including those that were already in force on 10 July 2002, the day on which the Directive was to be implemented, unless a temporary provision applied to these contracts.  Essentially I want to say that we are pay adequate attention to this issue and that we will take such steps as are necessary to protect the Treaties.  Subject: Equal opportunities Is the Commission satisfied, in European Year of Equal Opportunities, that real progress is being made in 'new' as well as 'old' Member States towards equality of people of different ethnicity and sexual orientation?","What specific initiatives is the Commission taking in the light of continued homophobic actions in certain EU as well as non-EU European states, such as the ban of a gay pride march in Vilnius and the attempted break-up of an equalities demonstration in Romania? "
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_07,conjunction," However, this protection is not yet complete, nor have we yet the real 'equality' mentioned by the honourable Member.","All the Member States must abide by the so-called Racial Equality Directive and Employment Equality Directive and it is the task of the European Union to monitor the correct transposition of both Directives into national legislation and their effective application. Consequently, on 27 June 2007 the Commission issued Reasoned Opinions to 14 Member States that have not transposed Directive 2000/43/EC correctly."
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_08,conjunction,"All the Member States must abide by the so-called Racial Equality Directive and Employment Equality Directive and it is the task of the European Union to monitor the correct transposition of both Directives into national legislation and their effective application. Consequently, on 27 June 2007 the Commission issued Reasoned Opinions to 14 Member States that have not transposed Directive 2000/43/EC correctly.","I want to state that the factual grounds that gave rise to these reasoned opinions vary of course from country to country as does their gravity. In any event, 14 states have received these reasoned opinions."
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_09,arg2-as-denier,"Consequently, on 27 June 2007 the Commission issued Reasoned Opinions to 14 Member States that have not transposed Directive 2000/43/EC correctly. I want to state that the factual grounds that gave rise to these reasoned opinions vary of course from country to country as does their gravity.","In any event, 14 states have received these reasoned opinions. 2007 is the European Year of Equal Opportunities for All and it has given the public authorities and civil society an incentive to organise actions and campaigns focusing on the benefits of diversity and non-discrimination."
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_10,conjunction,"I want to state that the factual grounds that gave rise to these reasoned opinions vary of course from country to country as does their gravity. In any event, 14 states have received these reasoned opinions.",2007 is the European Year of Equal Opportunities for All and it has given the public authorities and civil society an incentive to organise actions and campaigns focusing on the benefits of diversity and non-discrimination. The fight against discrimination must constantly be at the forefront of our mind. In 2008 the Commission will submit proposals for the European Year of Equal Opportunities follow-up programmes: these may contain measures for finalising the framework of anti-discrimination legislation.
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_11,result,"In any event, 14 states have received these reasoned opinions. 2007 is the European Year of Equal Opportunities for All and it has given the public authorities and civil society an incentive to organise actions and campaigns focusing on the benefits of diversity and non-discrimination.",The fight against discrimination must constantly be at the forefront of our mind. In 2008 the Commission will submit proposals for the European Year of Equal Opportunities follow-up programmes: these may contain measures for finalising the framework of anti-discrimination legislation. An on-line consultation that was launched in July and will last until mid-October forms part of preparations for assessing the corresponding impact.
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_12,conjunction,2007 is the European Year of Equal Opportunities for All and it has given the public authorities and civil society an incentive to organise actions and campaigns focusing on the benefits of diversity and non-discrimination. The fight against discrimination must constantly be at the forefront of our mind. In 2008 the Commission will submit proposals for the European Year of Equal Opportunities follow-up programmes: these may contain measures for finalising the framework of anti-discrimination legislation.,An on-line consultation that was launched in July and will last until mid-October forms part of preparations for assessing the corresponding impact. 
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_13,result, Both of the Directives on non-discrimination are fundamental European laws.,"We must ensure that they are fully transposed and we must ensure that non-discrimination, equal opportunities and tolerance continue to be fundamental values that are actively implemented. That is why the European Commission has initiated infringement proceedings against 14 Member States.  However, I also want to say that in general the individual Member States accept these high values and that the majority of problems we have been debating, problems that necessitate the initiation of infringement proceedings, are of a legislative and therefore a technical/administrative nature."
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_14,result,"That is why the European Commission has initiated infringement proceedings against 14 Member States. However, I also want to say that in general the individual Member States accept these high values and that the majority of problems we have been debating, problems that necessitate the initiation of infringement proceedings, are of a legislative and therefore a technical/administrative nature.",They do not represent a trend of a Member State rejecting the Treaties. 
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_15,result," Firstly, I would like to say that unfortunately at present we do not have as yet at our disposal comparable data that provides a good basis for a reliable European strategy.","Acquiring data that can be interpreted as such is one of the Commission's goals. We also have to realise that the debate you started and the issue you mentioned are very closely connected to the debate on services, on generally beneficial social services."
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_16,conjunction,"Acquiring data that can be interpreted as such is one of the Commission's goals. We also have to realise that the debate you started and the issue you mentioned are very closely connected to the debate on services, on generally beneficial social services.","Again, this is a related topic. I would also like to stress that a Directive concerning air traffic and the mobility of workers or mobility of people within the European Union has been implemented, and that of course there are plans to extend these regulations to other types of transport, which is logical.  There is also the issue of the transferability and accessibility of social services or various social measures for disabled people."
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_17,conjunction,"I would also like to stress that a Directive concerning air traffic and the mobility of workers or mobility of people within the European Union has been implemented, and that of course there are plans to extend these regulations to other types of transport, which is logical. There is also the issue of the transferability and accessibility of social services or various social measures for disabled people.","This issue is dealt with within the framework of implementation of Regulation 1408/71/EEC on the coordination of social security schemes and in the Directive on the portability of supplementary pension rights. The aim of all of these tools is fundamentally to reinforce the values of, and opportunities for, an independent life, with a corresponding degree of safety, anywhere in the European Union."
implicit ,europarl,europarl-cs-en-ep-07-09-04-017,cs_en_batch_02_item_18,result,There is also the issue of the transferability and accessibility of social services or various social measures for disabled people. This issue is dealt with within the framework of implementation of Regulation 1408/71/EEC on the coordination of social security schemes and in the Directive on the portability of supplementary pension rights.,"The aim of all of these tools is fundamentally to reinforce the values of, and opportunities for, an independent life, with a corresponding degree of safety, anywhere in the European Union. "
implicit ,europarl,europarl-cs-en-ep-07-09-04-020,cs_en_batch_02_item_19,result,"I would like to congratulate and thank the rapporteur for improving this outlook and for managing to give the text of this strategy a very positive direction. I would like to stress the following points in particular. Firstly, the amended text takes a positive attitude to the fact that it is necessary to spend more money on information and prevention programs to combat alcoholism. Secondly, the strategy focuses on young people, who represent a category that is particularly at risk.","In this context, I welcome and support in particular Article 7 on university students and Article 16, which makes it obligatory to include warnings on labels. Thirdly, I believe that the text of Article 21, which draws attention to the relationship between sick leave and alcohol consumption, is very important. We must not forget that if the European workforce is affected by alcohol, it will not be very competitive in a global world."
implicit ,europarl,europarl-cs-en-ep-07-09-04-020,cs_en_batch_02_item_20,result,"In this context, I welcome and support in particular Article 7 on university students and Article 16, which makes it obligatory to include warnings on labels. Thirdly, I believe that the text of Article 21, which draws attention to the relationship between sick leave and alcohol consumption, is very important. We must not forget that if the European workforce is affected by alcohol, it will not be very competitive in a global world.","I have a few doubts about the text of Article 2, which refers to a study by the World Health Organisation about the usefulness of alcohol in prevention of some diseases. With due respect to the WHO, I would like to point out that there are expert analyses available on this topic, such as the study by the team lead by Mrs Fillmore that was published in 2006: these studies show that analysis of the benefits of alcohol was based on the wrong data and that it also included, for example, older people who have stopped drinking and casual drinkers.  The findings of this study are therefore fairly problematic.  There is also the question of the message we want to convey to citizens with this text in Article 2."
implicit ,europarl,europarl-cs-en-ep-07-09-04-020,cs_en_batch_03_item_01,result,"With due respect to the WHO, I would like to point out that there are expert analyses available on this topic, such as the study by the team lead by Mrs Fillmore that was published in 2006: these studies show that analysis of the benefits of alcohol was based on the wrong data and that it also included, for example, older people who have stopped drinking and casual drinkers.  The findings of this study are therefore fairly problematic. There is also the question of the message we want to convey to citizens with this text in Article 2.","I hope that the message is not that if alcohol is drunk in small quantities, no amount will prove harmful. "
implicit ,europarl,europarl-cs-en-ep-07-09-05-012,cs_en_batch_03_item_02,conjunction," I will, however, do my best to speak slowly and concisely, as the issue I am about to address is, in itself, clear.","As the Chairman of the Committee on the Environment, Public Health and Food Safety, I would like to commend the Portuguese Presidency for having set as one of the main goals of its programme the issue of desertification and water shortage. That is also why I particularly welcome the upcoming conference, mentioned earlier."
implicit ,europarl,europarl-cs-en-ep-07-09-05-012,cs_en_batch_03_item_03,reason,"As the Chairman of the Committee on the Environment, Public Health and Food Safety, I would like to commend the Portuguese Presidency for having set as one of the main goals of its programme the issue of desertification and water shortage. That is also why I particularly welcome the upcoming conference, mentioned earlier.","You are well aware of the fact that this Parliament and the EU as a whole has adopted climate change as one of the principal challenges for the period ahead and it is well known that water shortage and advancing desertification are incontrovertible consequences of climate change. I am amongst those who are convinced that we should be preparing for the impact of climate change, rather than desperately attempting to arrest it, because our efforts in that direction are likely to fail."
implicit ,europarl,europarl-cs-en-ep-07-09-05-012,cs_en_batch_03_item_04,result,"That is also why I particularly welcome the upcoming conference, mentioned earlier. You are well aware of the fact that this Parliament and the EU as a whole has adopted climate change as one of the principal challenges for the period ahead and it is well known that water shortage and advancing desertification are incontrovertible consequences of climate change.","I am amongst those who are convinced that we should be preparing for the impact of climate change, rather than desperately attempting to arrest it, because our efforts in that direction are likely to fail. Today we know as a matter of certainty that Europe, particularly its southern regions, will have to cope with water shortages and soil degradation."
implicit ,europarl,europarl-cs-en-ep-07-09-05-012,cs_en_batch_03_item_05,arg2-as-instance,"You are well aware of the fact that this Parliament and the EU as a whole has adopted climate change as one of the principal challenges for the period ahead and it is well known that water shortage and advancing desertification are incontrovertible consequences of climate change. I am amongst those who are convinced that we should be preparing for the impact of climate change, rather than desperately attempting to arrest it, because our efforts in that direction are likely to fail.","Today we know as a matter of certainty that Europe, particularly its southern regions, will have to cope with water shortages and soil degradation. Climatological debates teach us that atmospheric water loss causes further desertification, which in turn is responsible for further climate warming. Breaking out of this vicious circle will prove to be very difficult."
implicit ,europarl,europarl-cs-en-ep-07-09-05-012,cs_en_batch_03_item_06,conjunction,"I am amongst those who are convinced that we should be preparing for the impact of climate change, rather than desperately attempting to arrest it, because our efforts in that direction are likely to fail. Today we know as a matter of certainty that Europe, particularly its southern regions, will have to cope with water shortages and soil degradation.","Climatological debates teach us that atmospheric water loss causes further desertification, which in turn is responsible for further climate warming. Breaking out of this vicious circle will prove to be very difficult. My question to the Commission and the Council on behalf of my committee is as follows: what are the practical steps that the Commission and the Council aim to take? Is it clear today what can be done at Member State level and what can be done at European level?"
implicit ,europarl,europarl-cs-en-ep-07-09-05-012,cs_en_batch_03_item_07,result,"Today we know as a matter of certainty that Europe, particularly its southern regions, will have to cope with water shortages and soil degradation. Climatological debates teach us that atmospheric water loss causes further desertification, which in turn is responsible for further climate warming. Breaking out of this vicious circle will prove to be very difficult.",My question to the Commission and the Council on behalf of my committee is as follows: what are the practical steps that the Commission and the Council aim to take? Is it clear today what can be done at Member State level and what can be done at European level? 
implicit ,europarl,europarl-cs-en-ep-07-09-25-007,cs_en_batch_03_item_08,arg2-as-instance,Particularly controversial is its interference in the affairs of the food processing industry. It is true that some Member States create their own problems.,A classical example is the strenuous effort by a number of countries in Central and Eastern Europe to liquidate cooperative farms even though they are prosperous. In the Czech Republic several amended laws governing cooperative farming have been trying to achieve exactly this.
implicit ,europarl,europarl-cs-en-ep-07-09-25-007,cs_en_batch_03_item_09,arg2-as-instance,It is true that some Member States create their own problems. A classical example is the strenuous effort by a number of countries in Central and Eastern Europe to liquidate cooperative farms even though they are prosperous.,In the Czech Republic several amended laws governing cooperative farming have been trying to achieve exactly this. Many cooperative farms have fallen apart and others have transformed into different legal entities.
implicit ,europarl,europarl-cs-en-ep-07-09-25-007,cs_en_batch_03_item_10,result,A classical example is the strenuous effort by a number of countries in Central and Eastern Europe to liquidate cooperative farms even though they are prosperous. In the Czech Republic several amended laws governing cooperative farming have been trying to achieve exactly this.,Many cooperative farms have fallen apart and others have transformed into different legal entities. 
implicit ,europarl,europarl-cs-en-ep-07-09-25-007,cs_en_batch_03_item_11,arg2-as-instance,"It does not matter much what subject the amateur covers, with his ideological blinders on: the result is always the same.  A black and white description of reality; ecstatic conclusions divorced from the world of facts. In addition, in the course of practical application sometimes there are high costs and 'unexpected problems'.","Especially charming are the speeches by some of my fellow Members on such attractive topics as biomass and biofuels, which consume high levels of energy during the transportation of raw materials, processing and product distribution: as experience shows, this is a basic fact. In order to reduce costs we should build small production units supplying local neighbourhoods with alternative fuels."
implicit ,europarl,europarl-cs-en-ep-07-09-25-007,cs_en_batch_03_item_12,arg2-as-denier,"Especially charming are the speeches by some of my fellow Members on such attractive topics as biomass and biofuels, which consume high levels of energy during the transportation of raw materials, processing and product distribution: as experience shows, this is a basic fact. In order to reduce costs we should build small production units supplying local neighbourhoods with alternative fuels.",I must stress that these sources cannot provide the solution to our power supply situation. They only offer a relatively slight improvement on the current situation.
implicit ,europarl,europarl-cs-en-ep-07-09-25-007,cs_en_batch_03_item_13,reason,In order to reduce costs we should build small production units supplying local neighbourhoods with alternative fuels. I must stress that these sources cannot provide the solution to our power supply situation.,They only offer a relatively slight improvement on the current situation. The same is true of the rainwater harvesting systems that are becoming very popular and a number of other renewable energy resources.
implicit ,europarl,europarl-cs-en-ep-07-09-25-007,cs_en_batch_03_item_14,similarity,I must stress that these sources cannot provide the solution to our power supply situation. They only offer a relatively slight improvement on the current situation.,The same is true of the rainwater harvesting systems that are becoming very popular and a number of other renewable energy resources. 
implicit ,europarl,europarl-cs-en-ep-07-09-25-014,cs_en_batch_03_item_15,arg2-as-detail,"As a result, the Committee on Budgets examined the draft budget very carefully. Unfortunately, it turned out that the combined draft budget presents numerous problems and is very ambiguous.","The main problem is that the funding was not explicitly included in the multi-annual financial framework for 2007-2013: the sum involved is EUR 308 million. There are doubts about a further EUR 1.5 billion given the proposal to finance the Institute from other programmes, in particular the Structural Funds and the Seventh Framework Programme for Research."
implicit ,europarl,europarl-cs-en-ep-07-09-25-014,cs_en_batch_03_item_16,conjunction,"Unfortunately, it turned out that the combined draft budget presents numerous problems and is very ambiguous. The main problem is that the funding was not explicitly included in the multi-annual financial framework for 2007-2013: the sum involved is EUR 308 million.","There are doubts about a further EUR 1.5 billion given the proposal to finance the Institute from other programmes, in particular the Structural Funds and the Seventh Framework Programme for Research. Although there have been a number of discussions with both the Commission and the Council since the Committee on Budgets adopted its opinion, the matter of the Institute's financing has not yet been solved satisfactorily.  However, the additional funds could only materialise, as already mentioned, as part of a review of the financial framework."
implicit ,europarl,europarl-cs-en-ep-07-09-25-014,cs_en_batch_03_item_17,arg1-as-denier,"Although there have been a number of discussions with both the Commission and the Council since the Committee on Budgets adopted its opinion, the matter of the Institute's financing has not yet been solved satisfactorily. However, the additional funds could only materialise, as already mentioned, as part of a review of the financial framework.","Of course we will not know how effective and successful the EIT will be until it has been established. However, it has to prove its viability by attracting money from the private sector too, as the Commission also proposes. This can only be achieved if the projects are topical and they are of a high quality, and if the results are successful."
implicit ,europarl,europarl-cs-en-ep-07-09-25-014,cs_en_batch_03_item_18,result,"Of course we will not know how effective and successful the EIT will be until it has been established. However, it has to prove its viability by attracting money from the private sector too, as the Commission also proposes. This can only be achieved if the projects are topical and they are of a high quality, and if the results are successful.",I hope the Institute will succeed in these endeavours. 
implicit ,europarl,europarl-cs-en-ep-07-10-22-014,cs_en_batch_03_item_19,conjunction," I believe that the rapporteur succeeded in preparing a document that makes provision for, and strikes the right balance between, the need for sustainable competitive agricultural production in Europe, and promoting the use of pesticides only where there is minimum adverse effect on human health and the environment.","I welcome the fact that the report incorporates the amendment on the precautionary principle regarding human health and safeguarding of the land and water ecosystem, which I co-authored. Like the rapporteur, Mrs Belohorská, I, too, regret that whilst the most important result to be expected from the thematic strategy is the reduction of adverse effects on human health deriving from pesticide use, the strategy deals with this heath impact only marginally."
