itemid	datasource	genre	subgenre	orig_lang	speaker_id	reflabel	observations	maxagree	majority_softlabel	majoritylabel_sampled	majority_distrlabel20	majority_distrlabel40	arg1	arg2	sent1	sent2
Animal_Farm_EN_batch_01_item_11	Animal_Farm_EN_paragraph_03	novel	NA	English	NA	NA	10	0.7	synchronous:0; precedence:0.1; succession:0; reason:0; result:0.7; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0.1; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.1; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	result	result	result	As for the dogs, when they grow old and toothless, Jones ties a brick round their necks and drowns them in the nearest pond.  \"Is it not crystal clear, then, comrades, that all the evils of this life of ours spring from the tyranny of human beings? Only get rid of Man, and the produce of our labour would be our own.	Almost overnight we could become rich and free. What then must we do?  Why, work night and day, body and soul, for the overthrow of the human race!	Only get rid of Man, and the produce of our labour would be our own.	Almost overnight we could become rich and free.
Animal_Farm_EN_batch_01_item_12	Animal_Farm_EN_paragraph_03	novel	NA	English	NA	NA	10	0.3	synchronous:0; precedence:0; succession:0; reason:0; result:0.2; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0.1; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.2; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0.3; arg2-as-detail:0; equivalence:0.1; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0.1; arg1-as-subst:0; differentcon:0; norel:0	arg1-as-detail	conjunction;arg1-as-detail;result	arg1-as-detail	What then must we do? Why, work night and day, body and soul, for the overthrow of the human race!	That is my message to you, comrades: Rebellion! I do not know when that Rebellion will come, it might be in a week or in a hundred years, but I know, as surely as I see this straw beneath my feet, that sooner or later justice will be done.	Why, work night and day, body and soul, for the overthrow of the human race!	That is my message to you, comrades: Rebellion!
Animal_Farm_EN_batch_01_item_13	Animal_Farm_EN_paragraph_03	novel	NA	English	NA	NA	10	0.4	synchronous:0.1; precedence:0.1; succession:0; reason:0; result:0.2; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.2; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.4; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	arg2-as-detail	conjunction;result;arg2-as-detail	arg2-as-detail	Why, work night and day, body and soul, for the overthrow of the human race! That is my message to you, comrades: Rebellion!	I do not know when that Rebellion will come, it might be in a week or in a hundred years, but I know, as surely as I see this straw beneath my feet, that sooner or later justice will be done. Fix your eyes on that, comrades, throughout the short remainder of your lives!	That is my message to you, comrades: Rebellion!	I do not know when that Rebellion will come, it might be in a week or in a hundred years, but I know, as surely as I see this straw beneath my feet, that sooner or later justice will be done.
Animal_Farm_EN_batch_01_item_14	Animal_Farm_EN_paragraph_04	novel	NA	English	NA	NA	10	0.4	synchronous:0; precedence:0; succession:0; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.2; arg2-as-denier:0.1; contrast:0.1; similarity:0; conjunction:0.4; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	conjunction;arg1-as-denier;arg2-as-detail	conjunction	There were only four dissentients, the three dogs and the cat, who was afterwards discovered to have voted on both sides. Major continued:      \"I have little more to say.	I merely repeat, remember always your duty of enmity towards Man and all his ways. Whatever goes upon two legs is an enemy.	\"Major continued: \"\"I have little more to say.\"	I merely repeat, remember always your duty of enmity towards Man and all his ways.
Animal_Farm_EN_batch_01_item_15	Animal_Farm_EN_paragraph_04	novel	NA	English	NA	NA	10	0.4	synchronous:0; precedence:0; succession:0; reason:0.1; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.4; disjunction:0; arg1-as-instance:0.1; arg2-as-instance:0; arg1-as-detail:0.1; arg2-as-detail:0.2; equivalence:0.1; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	conjunction;arg2-as-detail	conjunction	Major continued:      \"I have little more to say. I merely repeat, remember always your duty of enmity towards Man and all his ways.	Whatever goes upon two legs is an enemy. Whatever goes upon four legs, or has wings, is a friend.	I merely repeat, remember always your duty of enmity towards Man and all his ways.	Whatever goes upon two legs is an enemy.
Animal_Farm_EN_batch_01_item_16	Animal_Farm_EN_paragraph_04	novel	NA	English	NA	NA	10	1	synchronous:0; precedence:0; succession:0; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:1.0; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	contrast	contrast	contrast	I merely repeat, remember always your duty of enmity towards Man and all his ways. Whatever goes upon two legs is an enemy.	Whatever goes upon four legs, or has wings, is a friend. And remember also that in fighting against Man, we must not come to resemble him.	Whatever goes upon two legs is an enemy.	Whatever goes upon four legs, or has wings, is a friend.
Animal_Farm_EN_batch_01_item_17	Animal_Farm_EN_paragraph_04	novel	NA	English	NA	NA	10	0.5	synchronous:0; precedence:0; succession:0.2; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.5; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0.1; arg2-as-detail:0.1; equivalence:0.1; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	succession;conjunction	conjunction	Whatever goes upon four legs, or has wings, is a friend. And remember also that in fighting against Man, we must not come to resemble him.	Even when you have conquered him, do not adopt his vices. No animal must ever live in a house, or sleep in a bed, or wear clothes, or drink alcohol, or smoke tobacco, or touch money, or engage in trade.	And remember also that in fighting against Man, we must not come to resemble him.	Even when you have conquered him, do not adopt his vices.
Animal_Farm_EN_batch_01_item_18	Animal_Farm_EN_paragraph_04	novel	NA	English	NA	NA	10	0.4	synchronous:0; precedence:0; succession:0; reason:0; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0.1; arg1-as-denier:0.1; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.4; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.1; arg1-as-detail:0; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	arg2-as-detail;conjunction	conjunction	And remember also that in fighting against Man, we must not come to resemble him. Even when you have conquered him, do not adopt his vices.	No animal must ever live in a house, or sleep in a bed, or wear clothes, or drink alcohol, or smoke tobacco, or touch money, or engage in trade. All the habits of Man are evil.	Even when you have conquered him, do not adopt his vices.	No animal must ever live in a house, or sleep in a bed, or wear clothes, or drink alcohol, or smoke tobacco, or touch money, or engage in trade.
Animal_Farm_EN_batch_01_item_19	Animal_Farm_EN_paragraph_05	novel	NA	English	NA	NA	10	0.3	synchronous:0; precedence:0; succession:0; reason:0.2; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0.3; contrast:0; similarity:0; conjunction:0.2; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.3; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	arg2-as-detail	arg2-as-denier;conjunction;reason;arg2-as-detail	arg2-as-detail	And now, comrades, I will tell you about my dream of last night. I cannot describe that dream to you.	It was a dream of the earth as it will be when Man has vanished. But it reminded me of something that I had long forgotten.	I cannot describe that dream to you.	It was a dream of the earth as it will be when Man has vanished.
Animal_Farm_EN_batch_01_item_20	Animal_Farm_EN_paragraph_05	novel	NA	English	NA	NA	11	0.3636363636	synchronous:0; precedence:0; succession:0; reason:0.09090909090909091; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.36363636363636365; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.2727272727272727; arg1-as-detail:0; arg2-as-detail:0.2727272727272727; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	arg2-as-instance;arg2-as-detail;conjunction	conjunction	It was a dream of the earth as it will be when Man has vanished. But it reminded me of something that I had long forgotten.	Many years ago, when I was a little pig, my mother and the other sows used to sing an old song of which they knew only the tune and the first three words. I had known that tune in my infancy, but it had long since passed out of my mind.	But it reminded me of something that I had long forgotten.	Many years ago, when I was a little pig, my mother and the other sows used to sing an old song of which they knew only the tune and the first three words.
Animal_Farm_EN_batch_02_item_01	Animal_Farm_EN_paragraph_05	novel	NA	English	NA	NA	10	0.4	synchronous:0; precedence:0.3; succession:0; reason:0; result:0.4; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.2; arg1-as-detail:0.1; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	result	result;arg2-as-instance;precedence	result	Last night, however, it came back to me in my dream. And what is more, the words of the song also came back - words, I am certain, which were sung by the animals of long ago and have been lost to memory for generations.	I will sing you that song now, comrades. I am old and my voice is hoarse, but when I have taught you the tune, you can sing it better for yourselves.	And what is more, the words of the song also came back - words, I am certain, which were sung by the animals of long ago and have been lost to memory for generations.	I will sing you that song now, comrades.
Animal_Farm_EN_batch_02_item_02	Animal_Farm_EN_paragraph_06	novel	NA	English	NA	NA	10	0.4	synchronous:0; precedence:0.2; succession:0; reason:0.1; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0.1; contrast:0; similarity:0; conjunction:0.2; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.4; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	arg2-as-detail	arg2-as-detail;precedence;conjunction	arg2-as-detail	The singing of this song threw the animals into the wildest excitement. Almost before Major had reached the end, they had begun singing it for themselves.	Even the stupidest of them had already picked up the tune and a few of the words, and as for the clever ones, such as the pigs and dogs, they had the entire song by heart within a few minutes. And then, after a few preliminary tries, the whole farm burst out into Beasts of England in tremendous unison.	Almost before Major had reached the end, they had begun singing it for themselves.	Even the stupidest of them had already picked up the tune and a few of the words, and as for the clever ones, such as the pigs and dogs, they had the entire song by heart within a few minutes.
Animal_Farm_EN_batch_02_item_03	Animal_Farm_EN_paragraph_06	novel	NA	English	NA	NA	10	0.4	synchronous:0; precedence:0; succession:0; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.3; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.3; arg1-as-detail:0; arg2-as-detail:0.4; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	arg2-as-detail	conjunction;arg2-as-instance;arg2-as-detail	arg2-as-detail	Even the stupidest of them had already picked up the tune and a few of the words, and as for the clever ones, such as the pigs and dogs, they had the entire song by heart within a few minutes. And then, after a few preliminary tries, the whole farm burst out into Beasts of England in tremendous unison.	The cows lowed it, the dogs whined it, the sheep bleated it, the horses whinnied it, the ducks quacked it. They were so delighted with the song that they sang it right through five times in succession, and might have continued singing it all night if they had not been interrupted.  Unfortunately, the uproar awoke Mr. Jones, who sprang out of bed, making sure that there was a fox in the yard.	And then, after a few preliminary tries, the whole farm burst out into Beasts of England in tremendous unison.	The cows lowed it, the dogs whined it, the sheep bleated it, the horses whinnied it, the ducks quacked it.
