itemid	datasource	genre	subgenre	orig_lang	speaker_id	reflabel	observations	maxagree	majority_softlabel	majoritylabel_sampled	majority_distrlabel20	majority_distrlabel40	arg1	arg2	sent1	sent2
original_en_batch_02_item_08	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=68 NAME=\"Heaton-Harris\">	NA	11	0.2727272727	synchronous:0; precedence:0; succession:0; reason:0.18181818181818182; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.09090909090909091; arg2-as-denier:0.18181818181818182; contrast:0; similarity:0; conjunction:0.18181818181818182; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.2727272727272727; arg1-as-detail:0; arg2-as-detail:0.09090909090909091; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	arg2-as-instance	arg2-as-instance	arg2-as-instance	It is obvious that some presidents do not look at the hands, so to speak, but go straight to the electronic voting system. I was wondering whether this is the correct procedure.	I know it takes longer, but should we not always have a show of hands first?	I was wondering whether this is the correct procedure.	I know it takes longer, but should we not always have a show of hands first?
original_en_batch_02_item_10	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=75 NAME=\"MacCormick\">	NA	11	0.4545454545	synchronous:0; precedence:0.09090909090909091; succession:0; reason:0.45454545454545453; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.09090909090909091; arg2-as-denier:0.18181818181818182; contrast:0.09090909090909091; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0.09090909090909091	reason	reason	reason	I regard that as a very unsatisfactory state of affairs. I hope we can revisit this issue at a later time.	I want it to be clear that though I voted in favour of the report, I have this important reservation.	I hope we can revisit this issue at a later time.	I want it to be clear that though I voted in favour of the report, I have this important reservation.
original_en_batch_02_item_11	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=107 NAME=\"Chichester\">	NA	11	0.6363636364	synchronous:0; precedence:0; succession:0; reason:0.6363636363636364; result:0.09090909090909091; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.18181818181818182; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0.09090909090909091; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	reason	reason	reason	Mr President, I welcome the statement from the Commissioner.	Having spent a lot of time at sea myself I am well aware of the sea's power and destructive force, which make a proper design and maintenance of ships and boats essential. I would like to express my sympathy with all those who are dealing with the consequences of the breaking up and sinking of the oil tanker Erika.	Mr President, I welcome the statement from the Commissioner.	Having spent a lot of time at sea myself I am well aware of the sea's power and destructive force, which make a proper design and maintenance of ships and boats essential.
original_en_batch_02_item_12	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=107 NAME=\"Chichester\">	NA	11	0.5454545455	synchronous:0.09090909090909091; precedence:0; succession:0.09090909090909091; reason:0; result:0.5454545454545454; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0.09090909090909091; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.09090909090909091; arg1-as-detail:0.09090909090909091; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	result	result	result	Mr President, I welcome the statement from the Commissioner. Having spent a lot of time at sea myself I am well aware of the sea's power and destructive force, which make a proper design and maintenance of ships and boats essential.	I would like to express my sympathy with all those who are dealing with the consequences of the breaking up and sinking of the oil tanker Erika.	Having spent a lot of time at sea myself I am well aware of the sea's power and destructive force, which make a proper design and maintenance of ships and boats essential.	I would like to express my sympathy with all those who are dealing with the consequences of the breaking up and sinking of the oil tanker Erika.
original_en_batch_02_item_14	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=137 NAME=\"Scallon\">	NA	11	0.7272727273	synchronous:0; precedence:0; succession:0; reason:0.09090909090909091; result:0.09090909090909091; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.09090909090909091; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.7272727272727273; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	arg2-as-instance	arg2-as-instance	arg2-as-instance	Mr President, I extend our deepest sympathy to all of those who were affected by the storms. Sometimes within the Community we do not actually have an awareness of what is happening in other countries.	We had very little coverage in Ireland of the tanker that sank.	Sometimes within the Community we do not actually have an awareness of what is happening in other countries.	We had very little coverage in Ireland of the tanker that sank.
original_en_batch_02_item_15	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=145 NAME=\"Jackson\">	NA	10	0.4	synchronous:0; precedence:0; succession:0; reason:0.4; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.4; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.1; arg1-as-detail:0; arg2-as-detail:0.1; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	reason;conjunction	reason;conjunction	Thank you, Commissioner, for your statement.	I think the lines that you have set up regarding the Food Safety Authority are a recognition of reality. The Member States would not accept a regulatory agency, so there is not very much point in your proposing one.	Thank you, Commissioner, for your statement.	I think the lines that you have set up regarding the Food Safety Authority are a recognition of reality.
original_en_batch_02_item_16	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=145 NAME=\"Jackson\">	NA	10	0.5	synchronous:0; precedence:0; succession:0; reason:0; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.5; arg2-as-denier:0.2; contrast:0.1; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.1; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	arg1-as-denier	arg1-as-denier;arg2-as-denier	arg1-as-denier	Thank you, Commissioner, for your statement. I think the lines that you have set up regarding the Food Safety Authority are a recognition of reality.	The Member States would not accept a regulatory agency, so there is not very much point in your proposing one.	I think the lines that you have set up regarding the Food Safety Authority are a recognition of reality.	The Member States would not accept a regulatory agency, so there is not very much point in your proposing one.
original_en_batch_02_item_18	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=146 NAME=\"Byrne\">	NA	10	0.3	synchronous:0; precedence:0; succession:0; reason:0.3; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.1; arg2-as-denier:0.1; contrast:0; similarity:0; conjunction:0.1; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.2; arg1-as-detail:0; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	reason	arg2-as-instance;arg2-as-detail;reason	reason	I find that encouraging and I look forward to further discussions with them and other Members of Parliament in relation to the issues that they raised. Mrs Ahern raised the issue of liability.	That of course is not specifically addressed in the White Paper except for the reference to the fact that we will be putting in place provisions- and there are already some- relating to the issue of traceability. Once that is done, issues such as liability can be addressed.	Mrs Ahern raised the issue of liability.	That of course is not specifically addressed in the White Paper except for the reference to the fact that we will be putting in place provisions- and there are already some- relating to the issue of traceability.
original_en_batch_03_item_05	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=150 NAME=\"Byrne\">	NA	10	0.3	synchronous:0; precedence:0.1; succession:0; reason:0.3; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.1; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0.2; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.1; equivalence:0; arg1-as-manner:0; arg2-as-manner:0.1; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	reason	reason;arg1-as-instance	reason	In addition to that, the food safety authority will have a board. You will notice in the White Paper that we have not been specific about the makeup of that board.	This is an issue which I expect will be discussed between Parliament and the Commission over the next few weeks and months.	You will notice in the White Paper that we have not been specific about the makeup of that board.	This is an issue which I expect will be discussed between Parliament and the Commission over the next few weeks and months.
original_en_batch_03_item_10	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=159 NAME=\"Verheugen\">	NA	10	0.3	synchronous:0; precedence:0.3; succession:0; reason:0; result:0.3; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0.1; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.3; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	conjunction;precedence;result	conjunction	A couple of weeks ago we had a debate in Parliament on the nuclear safety issue with special regard to the candidate countries.	I have explained the position of the Commission. You have to accept the fact that there is no acquis communautaire on nuclear safety.	A couple of weeks ago we had a debate in Parliament on the nuclear safety issue with special regard to the candidate countries.	I have explained the position of the Commission.
original_en_batch_03_item_11	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=159 NAME=\"Verheugen\">	NA	10	0.4	synchronous:0.1; precedence:0; succession:0.1; reason:0; result:0.4; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0.1; similarity:0; conjunction:0.2; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.1; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	result	conjunction;result	result	A couple of weeks ago we had a debate in Parliament on the nuclear safety issue with special regard to the candidate countries. I have explained the position of the Commission.	You have to accept the fact that there is no acquis communautaire on nuclear safety.	I have explained the position of the Commission.	You have to accept the fact that there is no acquis communautaire on nuclear safety.
original_en_batch_03_item_12	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=161 NAME=\"Verheugen\">	NA	10	0.6	synchronous:0; precedence:0; succession:0; reason:0.1; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0.2; contrast:0.6; similarity:0; conjunction:0.1; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	contrast	contrast;arg2-as-denier	contrast	I think it is the right of a Member of Parliament to raise his own concerns and fears.	I do not have these concerns. I believe that Turkey completely recognises the standards and the criteria of the convention on nuclear safety and the non- proliferation treaty, but there is no doubt that there are concerns in the public in Europe and I think it is quite right to discuss them here in Parliament.	I think it is the right of a Member of Parliament to raise his own concerns and fears.	I do not have these concerns.
original_en_batch_03_item_13	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=161 NAME=\"Verheugen\">	NA	10	0.4	synchronous:0; precedence:0; succession:0; reason:0.4; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.1; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.1; disjunction:0.1; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.3; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	reason	reason;arg2-as-detail	reason	I think it is the right of a Member of Parliament to raise his own concerns and fears. I do not have these concerns.	I believe that Turkey completely recognises the standards and the criteria of the convention on nuclear safety and the non- proliferation treaty, but there is no doubt that there are concerns in the public in Europe and I think it is quite right to discuss them here in Parliament.	I do not have these concerns.	I believe that Turkey completely recognises the standards and the criteria of the convention on nuclear safety and the non- proliferation treaty, but there is no doubt that there are concerns in the public in Europe and I think it is quite right to discuss them here in Parliament.
original_en_batch_03_item_14	europarl-original-en-ep-00-01-18.txt	europarl	NA	English	<SPEAKER ID=166 NAME=\"Wallstr̦m\">	NA	10	0.5	synchronous:0; precedence:0; succession:0; reason:0; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0.1; arg1-as-denier:0.1; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.5; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	conjunction;arg2-as-detail	conjunction	Thank you, Mr Bowe, for that question.	We have to state again that there is still no confirmation that depleted uranium was used in the conflict and no depleted uranium has been detected in the clean- up of Kosovo.	Thank you, Mr Bowe, for that question.	We have to state again that there is still no confirmation that depleted uranium was used in the conflict and no depleted uranium has been detected in the clean- up of Kosovo.
